@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25'

@attribute Gender {Male,Female,Unknown,Combo}
@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute WordCount numeric
@attribute FleschReading numeric
@attribute OT numeric
@attribute NT numeric
@attribute BoM numeric
@attribute DC numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute TalkingSpeed numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInItalics numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
Male,0.27,0.57,3614,5.6,4,8,3,1,2,17,12,2.0274,4,129.067,887,41,0.184837,0,15338,1530000,12,1975,n
Male,0.16,0.43,4233,7.56,1,0,0,2,0,2,10,2.232846,81,42.05,1002,37,0.272147,0,16031,897000,1,1974,n
Male,0.15,0.48,4582,5.21,5,11,6,2,0,28,8,2.439338,3,344.391,1221,28,0.089262,0,15646,897000,1,1975,n
Male,0.21,0.51,4575,5.6,0,4,6,0,1,12,13,2.402002,4,368.167,1179,19,0.099454,0,12377,43200,1,1984,y
Male,0.16,0.51,3916,3.65,0,5,14,0,5,25,15,2.136259,1,560.333,924,7,0.056946,0.115424,13434,8130,2,1981,y
Male,0.18,0.46,4161,5.99,0,11,6,1,0,21,16,2.90512,3,144,1270,90,0.084114,0,2815,3250000,3,2010,n
Male,0.17,0.52,3240,8.34,0,3,2,0,0,5,5,1.848779,2,201.19,1051,69,0.08179,0,1478,30700,11,2013,n
Unknown,0.19,0.46,4625,6.79,0,1,0,0,0,3,40,2.513884,11,81.667,1494,25,0.004108,0,3305,8450,11,2008,n
Unknown,0.14,0.56,5326,6.78,0,9,7,1,0,19,10,2.734071,3,82.618,1582,145,0.166166,0,7988,590,1,1996,y
Female,0.27,0.56,1729,7.57,0,0,0,3,0,1,6,0.1729,1,26.036,654,19,0.111625,0,13598,42500,9,1980,n
Female,0.19,0.5,4752,6,8,9,2,1,0,24,9,2.993911,13,242,1509,35,0.124369,0,8303,42500,3,1995,n
Female,0.2,0.58,3582,5.61,2,12,12,1,0,32,6,2.698373,3,421.231,1194,53,0.149916,0,4961,42500,4,2004,y
Male,0.16,0.49,3819,5.61,0,8,3,3,0,14,18,2.266839,19,109.136,1295,43,0.103954,0,988,42500,3,2015,n
Male,0.16,0.49,3819,5.61,0,8,3,0,0,14,18,2.266839,19,109.136,1295,43,0.103954,0,988,42500,3,2015,n
