@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,12-13,15,18,21-22'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute AuthorityMentions numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.14,0.49,0,0,0,0,0,1213,13,0,4446,2005,y
0.1,0.48,5,0,2,14,2,1451,62,0,7456,1997,n
0.19,0.54,12,6,3,34,5,1521,61,0.004417,1765,2013,n
0.17,0.55,1,3,1,7,4,1089,113,0,3165,2009,y
0.17,0.51,0,0,0,4,4,1302,36,0,1023,2015,y
0.25,0.56,0,4,1,8,0,1407,143,0,11061,1987,n
0.23,0.52,0,17,0,22,2,1282,35,0,9796,1991,n
0.18,0.54,0,1,0,4,0,1161,23,0,11987,1985,n
0.17,0.53,0,3,1,15,3,1322,78,0,12687,1983,n
0.15,0.48,0,0,0,2,1,1036,6,0,13714,1980,n
0.17,0.57,1,1,0,6,8,968,65,0,15121,1976,y
0.19,0.5,3,1,0,8,4,1067,84,0,757,2015,y
0.22,0.48,0,2,0,4,2,1128,92,0,3655,2007,n
0.2,0.46,0,1,0,3,6,712,29,0,11691,1985,n
0.29,0.51,0,1,0,2,0,433,8,0,3142,2009,n
0.23,0.5,0,0,0,0,0,397,18,0,3030,2009,n
0.23,0.56,0,1,0,3,17,1126,146,0,15641,1975,n
0.24,0.57,0,1,0,16,11,1096,34,0,14911,1977,y
0.2,0.5,0,4,0,4,5,1067,61,0,3809,2007,n
0.06,0.47,0,3,0,6,10,1324,70,0,4642,2005,n
0.14,0.52,1,8,4,14,8,1267,73,0,7134,1998,n
0.2,0.6,7,19,3,43,4,1074,33,0,5496,2002,n
0.15,0.53,0,3,1,12,3,1302,46,0,5769,2002,n
0.11,0.47,1,2,1,7,1,927,31,0,10431,1989,n
0.19,0.49,3,5,2,25,2,1271,85,0,13343,1981,n
0.14,0.49,14,1,1,41,8,1397,77,0,12265,1984,n
