@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,13,18,21-22'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.2,0.49,0,2,0,10,7,4,536.806,1576,76,0,4481,2005,n
0.22,0.53,1,1,0,5,16,6,17.64,1062,37,0,3613,2008,n
0.18,0.5,0,1,4,12,6,2,253.5,943,70,0,3368,2008,n
0.24,0.52,0,0,0,0,2,0,0.941,525,19,0,1938,2012,n
0.19,0.54,0,0,0,1,6,7,10.028,717,17,0,4493,2005,n
0.19,0.54,0,0,0,1,4,18,22.562,1122,28,0.001038,1912,2012,n
0.2,0.52,2,1,0,8,8,13,487.688,2013,68,0.000254,3382,2008,n
0.28,0.5,0,0,0,1,8,8,42.667,657,12,0,4234,2006,n
0.21,0.48,2,0,0,4,2,6,10.286,520,11,0,5221,2003,n
0.2,0.47,0,0,0,4,6,7,1716.071,1436,66,0,4845,2004,n
0.16,0.53,0,2,1,5,16,3,38.533,979,51,0,1541,2013,n
0.15,0.57,3,5,0,13,8,11,192.364,1156,21,0,8156,1995,n
0.23,0.56,1,0,1,4,5,2,16.695,843,37,0,3004,2009,n
0.25,0.52,0,3,0,4,2,3,6.081,664,11,0,3506,2008,n
0.26,0.5,0,1,0,1,5,13,22.5,740,22,0,4857,2004,n
0.17,0.52,0,2,0,8,10,4,58.132,969,50,0,4096,2006,n
0.24,0.51,0,1,0,9,32,5,264.892,1391,52,0,4110,2006,n
0.22,0.53,0,0,0,2,12,18,328.474,1461,45,0,1926,2012,n
0.21,0.57,0,4,8,20,9,11,243.31,1415,61,0,5860,2001,n
0.28,0.54,0,0,0,1,11,8,117.818,661,14,0,5195,2003,n
0.13,0.51,0,2,1,4,7,7,21.253,1457,86,0,4824,2004,n
0.32,0.5,2,5,2,23,11,4,322.118,1203,45,0,4962,2004,n
0.25,0.52,0,0,0,2,9,4,34.615,537,8,0,4122,2006,n
0.19,0.49,0,0,0,1,5,0,7,475,15,0,1567,2013,n
0.22,0.56,0,0,1,7,5,9,65.333,874,21,0,4474,2005,n
0.29,0.54,0,1,0,2,1,0,8.333,355,0,0.005926,3142,2009,n
0.2,0.47,0,0,0,0,7,38,7.118,820,79,0,2885,2010,n
0.23,0.49,0,0,0,3,6,5,415.568,1594,39,0.000677,3018,2009,n
0.29,0.56,0,0,0,4,3,4,21.333,593,4,0,3758,2007,n
0.2,0.45,2,0,0,6,9,7,151.143,1092,31,0,3977,2007,n
0.2,0.51,1,0,0,2,16,11,366.095,1608,65,0,2290,2011,n
0.28,0.51,0,0,0,1,2,2,14.083,460,11,0,2050,2012,n
0.18,0.53,0,4,0,7,8,4,17.92,1183,102,0,5069,2004,n
0.22,0.49,0,1,0,3,13,12,245,1485,59,0,3746,2007,n
0.16,0.49,0,1,1,4,9,27,354.694,1714,181,0,5209,2003,n
0.23,0.54,0,3,0,5,10,10,25.412,1003,36,0,2521,2011,n
0.23,0.57,0,0,0,2,2,1,9.143,484,13,0,3870,2007,n
0.17,0.56,0,1,2,12,10,12,52.545,1007,35,0,4698,2005,n
0.22,0.55,1,7,0,10,9,16,57.857,938,34,0.002099,3249,2009,n
0.26,0.56,0,0,0,0,4,4,36.571,401,14,0,951,2015,n
0.23,0.5,0,0,0,0,5,3,25,480,10,0,1679,2013,n
0.28,0.56,0,2,0,7,5,4,21,560,9,0,3394,2008,n
0.19,0.49,0,1,0,2,17,17,498.37,1567,33,0,2654,2010,n
0.22,0.58,6,7,4,24,7,2,100.174,894,32,0,4341,2006,n
0.26,0.64,0,0,0,4,4,4,21,470,15,0,1315,2014,n
0.13,0.5,3,1,0,5,6,2,144,994,131,0,2212,2011,n
0.26,0.51,0,2,0,4,24,14,9.981,1305,120,0.0014,1345,2014,y
0.17,0.5,0,0,0,1,4,1,32.267,1076,66,0.000795,13723,1980,n
0.14,0.52,0,4,0,13,11,1,19.531,1102,27,0.004419,12223,1984,n
0.11,0.44,1,9,2,15,7,9,22.737,1290,30,0.004269,4817,2004,n
0.19,0.47,3,10,2,29,20,3,11.645,1359,14,0.006714,5510,2002,y
0.12,0.43,0,0,0,1,18,0,257.143,1468,30,0,617,2016,n
0.12,0.43,0,0,0,1,18,0,257.143,1468,30,0,617,2016,n
0.2,0.58,10,2,0,15,7,0,157.091,1463,45,0,11467,1986,n
0.17,0.48,0,1,0,1,4,4,20,453,18,0,2302,2011,n
0.23,0.53,2,0,1,6,12,13,52.562,1161,87,0,1030,2015,n
0.16,0.49,0,2,0,3,7,2,54.256,1320,238,0,7610,1997,n
0.2,0.51,2,0,1,8,14,1,572.45,1221,166,0,8968,1993,n
0.34,0.58,0,5,0,17,5,2,252.431,959,40,0,4306,2006,y
0.21,0.52,0,1,0,2,1,2,282.483,948,25,0,2878,2010,n
0.16,0.51,0,7,0,9,3,4,435.085,1046,72,0,3734,2007,y
0.18,0.47,0,0,0,0,3,1,6.261,475,5,0,2666,2010,n
0.15,0.47,0,0,0,0,7,1,8.522,455,5,0,2778,2010,n
0.25,0.52,0,0,0,0,7,1,2.857,635,25,0,2414,2011,n
0.15,0.51,0,1,1,12,15,9,40.333,1151,39,0,2486,2011,n
0.15,0.5,0,3,0,3,5,8,132,1243,152,0,6413,2000,n
0.17,0.55,0,2,0,7,8,4,320.889,1139,31,0.030596,4985,2004,n
0.16,0.5,1,10,0,15,8,6,1955.571,1236,36,0,4961,2004,n
0.27,0.57,0,3,3,8,27,2,41.796,1394,77,0,848,2015,n
0.28,0.52,3,4,0,14,20,8,12.071,994,43,0,2584,2010,n
0.12,0.51,1,3,3,8,20,2,277.333,1715,41,0,7554,1997,n
0.16,0.52,0,13,1,33,18,12,46.694,1170,65,0,5776,2002,n
0.16,0.52,0,13,1,33,18,12,46.694,1170,65,0,5776,2002,n
0.19,0.5,1,3,0,14,13,17,87.168,1567,99,0,7064,1998,y
0.19,0.55,0,0,1,1,1,1,28,368,6,0.00438,1679,2013,n
0.13,0.51,0,2,0,8,11,7,225,1493,66,0,5377,2003,n
0.14,0.49,0,6,0,9,15,5,704.167,1489,29,0,2402,2011,n
0.12,0.49,3,61,2,79,10,4,76.8,1285,32,0.014116,1315,2014,n
0.19,0.5,0,19,1,29,12,12,14.329,1284,43,0,475,2016,n
0.15,0.46,0,2,1,8,7,20,25.862,1166,55,0,2302,2011,n
0.16,0.46,2,8,2,20,12,8,280.333,1481,47,0.004996,3403,2008,y
0.11,0.48,0,0,0,3,4,2,22.222,1027,132,0.00091,302,2017,y
0.11,0.48,0,0,0,3,4,2,22.222,1027,132,0.00091,302,2017,y
0.16,0.48,2,2,0,4,16,4,189.391,1310,87,0,1583,2013,y
0.18,0.52,0,0,0,0,11,71,30.154,1050,100,0,13595,1980,n
0.14,0.48,0,2,0,6,13,7,364.5,1271,133,0,1982,2012,n
0.12,0.5,1,6,2,18,7,2,63.021,1295,52,0.001534,1618,2013,y
0.12,0.39,0,0,0,1,35,2,20.161,1580,13,0,521,2016,n
0.15,0.57,5,14,0,37,6,9,45.021,1375,61,0,6616,1999,n
0.11,0.45,4,2,0,19,17,14,70.349,1365,50,0,2516,2011,y
0.16,0.5,0,1,0,6,9,6,13.829,940,28,0,3758,2007,n
0.18,0.55,2,22,4,44,16,6,243.559,1420,27,0,4320,2006,y
0.18,0.5,1,0,2,16,10,4,22.4,998,36,0,2778,2010,n
0.16,0.53,4,11,0,36,11,8,135.674,1611,67,0,4770,2004,y
0.32,0.48,0,6,2,12,10,10,12.444,1238,55,0,4922,2004,n
0.07,0.43,3,1,0,9,16,0,14.235,1228,103,0,4880,2004,n
0.1,0.47,0,2,0,4,8,9,542.769,1298,39,0,1170,2014,y
0.12,0.49,6,7,1,19,20,6,153,1541,83,0.005253,2094,2012,y
0.12,0.49,6,7,1,19,20,6,153,1541,83,0.005253,2094,2012,y
0.17,0.5,3,12,0,23,11,12,86.4,1465,72,0,8352,1995,y
