@relation 'features-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R22,25'

@attribute Gender {Male,Female,Unknown,Combo}
@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute WordCount numeric
@attribute FleschReading numeric
@attribute OT numeric
@attribute NT numeric
@attribute BoM numeric
@attribute DC numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute TalkingSpeed numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInItalics numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
Unknown,0.441176,0.592593,0.311412,0.520408,0.076923,0.065574,0.078652,0.045455,0.4375,0.170213,0.202532,0.059881,0.040984,0.018887,0.350276,0.232794,0.218456,0,0.282702,0.000345,0.181818,0.72,n
Unknown,0.588235,0.481481,0.27154,0.241837,0.038462,0.016393,0.044944,0.068182,0.25,0.120567,0.012658,0.270014,0.172131,0.060826,0.285083,0.040486,0.356324,0,0.145293,0.000345,0.454545,0.856,y
Unknown,0.382353,0.592593,0.242896,0.560204,0.019231,0.032787,0.022472,0,0.0625,0.078014,0.088608,0.282032,0.090164,0.049505,0.291436,0.080972,0.42363,0,0.264364,0.000107,0.454545,0.736,n
Female,0.382353,0.555556,0.206004,0.40102,0.019231,0.032787,0,0.068182,0,0.028369,0.113924,0.039305,0.040984,0.082817,0.290055,0.145749,0.193254,0,0.279762,0.000004,0.545455,0.72,n
Male,0.352941,0.481481,0.201192,0.362245,0,0.032787,0.146067,0.681818,0,0.141844,0.164557,0.285408,0.106557,0.007146,0.291989,0.139676,0.099871,0.049018,0.028815,0.000956,0.090909,0.976,y
Male,0.441176,0.444444,0.180626,0.680612,0.019231,0.016393,0,0,0,0.014184,0.088608,0.034352,0.016393,0.084983,0.23674,0.093117,0.119029,0,0.335867,0.000956,0.545455,0.664,n
Female,0.323529,0.37037,0.232814,0.320408,0,0.016393,0.033708,0.022727,0,0.028369,0.101266,0.044539,0,0.031117,0.328729,0.202429,0.206912,0.002968,0.259638,0.000034,0,0.744,n
Female,0.352941,0.444444,0.338623,0.281633,0.019231,0.114754,0.101124,0,0,0.141844,0.189873,0.065192,0.057377,0.041745,0.414365,0.236842,0.140167,0.010534,0.243673,0.000034,0.090909,0.76,n
Female,0.470588,0.481481,0.295314,0.320408,0.038462,0.04918,0.067416,0.113636,0.1875,0.113475,0.113924,0.351474,0.040984,0.04504,0.340331,0.226721,0.151989,0,0.173956,0.020934,0.909091,0.824,n
Female,0.441176,0.481481,0.291017,0.280612,0,0.04918,0.067416,0.181818,0.0625,0.099291,0.164557,0.374841,0.040984,0.058623,0.367403,0.253036,0.182968,0.008481,0.225073,0.020934,0.454545,0.776,n
Female,0.382353,0.555556,0.218034,0.241837,0.038462,0.04918,0.11236,0.068182,0,0.148936,0.139241,0.366029,0.07377,0.258543,0.290331,0.1417,0.132034,0.021244,0.106525,0.020934,0.272727,0.896,n
Female,0.470588,0.444444,0.253208,0.440816,0,0.032787,0.044944,0.045455,0,0.056738,0.075949,0.048519,0.057377,0.043592,0.293094,0.172065,0.076397,0.006878,0.289367,0.000392,0.363636,0.712,n
Female,0.352941,0.518519,0.290215,0.40102,0,0.016393,0.033708,0.090909,0,0.042553,0.177215,0.055743,0.02459,0.049768,0.409945,0.178138,0.101333,0.004858,0.213595,0.000044,0.909091,0.784,n
Male,0.441176,0.37037,0.189505,0.362245,0.076923,0.163934,0.11236,0.386364,0.125,0.205674,0.329114,0.305064,0.032787,0.417119,0.35,0.066802,0.028637,0,0.097116,0.000044,0.545455,0.904,n
