Gender,Polarity,Subjectivity,WordCount,FleschReading,OT,NT,BoM,DC,PoGP,AllScriptureCount,StoryNames,TalkingSpeed,AuthorityMentions,WeToYouRatio,WordQuantity,FirstPersonPronoun,PercentInItalics,PercentInQuotes,DaysElapsed,NameSearchResults,Pageviews,MonthGiven,YearGiven,Popular
Female,0.18,0.52,4748.0,7.17,0.0,0.0,1.0,0.0,0.0,1.0,13.0,0.4748,2.0,35.2,1442.0,48.0,0.14785172704296545,0.0,15261,14600.0,1289.0,2.0,1976.0,n
Female,0.23,0.52,6383.0,4.82,0.0,2.0,0.0,6.0,0.0,2.0,15.0,2.2950667989205553,29.0,16.569,1802.0,116.0,0.21604261319128937,0.0,12342,14600.0,631.0,2.0,1984.0,n
Female,0.24,0.53,6516.0,5.22,1.0,0.0,0.0,6.0,0.0,3.0,26.0,0.6516,11.0,15.667,1739.0,91.0,0.015039901780233272,0.10773480662983426,13450,14600.0,984.0,2.0,1981.0,n
Female,0.26,0.55,5054.0,7.95,1.0,3.0,1.0,0.0,0.0,6.0,5.0,0.5054,5.0,168.1,1299.0,47.0,0.048278591214879304,0.0,14538,14600.0,430.0,2.0,1978.0,n
Female,0.16,0.5,4437.0,7.56,2.0,2.0,0.0,5.0,0.0,4.0,17.0,0.4437,8.0,23.674,1385.0,36.0,0.06288032454361055,0.0,13070,14600.0,743.0,2.0,1982.0,n
Female,0.16,0.52,2314.0,7.95,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.46735918467081,6.0,110.25,800.0,76.0,0.010371650821089023,0.0,3221,14600.0,2148.0,2.0,2009.0,y
Female,0.25,0.58,6458.0,4.43,1.0,4.0,8.0,0.0,2.0,23.0,21.0,2.6382831305120833,16.0,302.286,1623.0,92.0,0.12093527407866213,0.0,9332,14600.0,2549.0,5.0,1992.0,n
Female,0.15,0.48,4726.0,5.22,0.0,0.0,1.0,2.0,0.0,3.0,28.0,0.4726,4.0,175.562,1632.0,26.0,0.5438002539145155,0.0,10697,788000.0,220.0,8.0,1988.0,n
Female,0.16,0.52,4296.0,5.61,0.0,0.0,1.0,2.0,1.0,7.0,15.0,0.4296,19.0,89.78,1410.0,49.0,0.1855214152700186,0.0,10123,1840000.0,617.0,3.0,1990.0,n
Female,0.23,0.55,5074.0,4.43,0.0,3.0,2.0,4.0,0.0,7.0,10.0,0.5074,5.0,121.0,1462.0,121.0,0.2554197871501774,0.0,11103,1840000.0,815.0,7.0,1987.0,n
Female,0.12,0.56,3624.0,4.43,0.0,4.0,1.0,6.0,1.0,8.0,6.0,0.3624,4.0,52.9,1133.0,95.0,0.46192052980132453,0.0,11705,11100000.0,360.0,11.0,1985.0,n
