@relation 'features-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,12-13,15,18,21-22'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute AuthorityMentions numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.382353,0.481481,0,0,0,0.007092,0,0.068785,0.030364,0,0.104238,0.896,n
0.382353,0.592593,0.115385,0,0,0.049645,0.016393,0.31768,0.228745,0,0.122272,0.88,y
0.411765,0.407407,0,0.033708,0,0.021277,0.016393,0.361602,0.147773,0,0.215294,0.784,n
0.352941,0.407407,0,0,0.0625,0.021277,0.090164,0.359392,0.074899,0,0.207366,0.792,n
0.441176,0.333333,0,0.05618,0.0625,0.078014,0.032787,0.45442,0.111336,0.001508,0.175502,0.824,n
0.441176,0.555556,0.019231,0.202247,0.3125,0.262411,0.122951,0.35663,0.087045,0.036979,0.076534,0.928,y
0.323529,0.37037,0,0.089888,0,0.056738,0.016393,0.429282,0.080972,0.00336,0.199416,0.8,n
0.352941,0.592593,0.076923,0.011236,0.125,0.092199,0.098361,0.423204,0.129555,0.003502,0.278913,0.72,y
0.441176,0.592593,0.019231,0.011236,0,0.028369,0.081967,0.400829,0.248988,0.003992,0.307815,0.696,y
0.323529,0.185185,0.019231,0.022472,0,0.021277,0.07377,0.464088,0.151822,0,0.183582,0.816,n
0.441176,0.259259,0,0.022472,0,0.042553,0.106557,0.498619,0.095142,0,0.191467,0.808,n
0.294118,0.296296,0,0.033708,0,0.049645,0.02459,0.344475,0.184211,0,0.134164,0.864,n
0.382353,0.555556,0.153846,0,0,0.085106,0.008197,0.222652,0.076923,0,0.069826,0.928,n
0.470588,0.592593,0,0.022472,0,0.042553,0.02459,0.227901,0.153846,0,0.038115,0.96,y
0.735294,0.481481,0.076923,0.11236,0,0.163121,0.155738,0.374586,0.119433,0,0.152154,0.848,n
0.588235,0.37037,0,0.089888,0,0.06383,0.065574,0.292265,0.172065,0,0.247898,0.752,n
0.470588,0.407407,0,0,0.0625,0.014184,0.04918,0.295028,0.060729,0,0.181884,0.816,n
0.705882,0.555556,0,0,0,0.007092,0.02459,0.077072,0.016194,0,0.072374,0.928,n
0.470588,0.37037,0,0,0,0.007092,0.032787,0.064641,0.020243,0,0.074814,0.928,n
0.470588,0.333333,0,0,0,0.035461,0.081967,0.201657,0.15587,0,0.354467,0.648,y
0.529412,0.37037,0.019231,0,0,0.078014,0.02459,0.212707,0.101215,0,0.317158,0.68,y
0.735294,0.518519,0.019231,0.011236,0.0625,0.078014,0.057377,0.225138,0.072874,0,0.326458,0.672,n
0.529412,0.333333,0.019231,0.011236,0.0625,0.085106,0.057377,0.199448,0.095142,0,0.310602,0.688,n
0.352941,0.518519,0.019231,0.022472,0.0625,0.12766,0.02459,0.255525,0.036437,0,0.260139,0.744,y
0.352941,0.407407,0.019231,0.022472,0,0.205674,0.016393,0.240884,0.093117,0,0.282811,0.72,y
0.5,0.444444,0,0.022472,0,0.049645,0.02459,0.261878,0.07085,0,0.296729,0.704,y
0.735294,0.740741,0.076923,0.033708,0.125,0.120567,0.032787,0.169613,0.082996,0,0.332513,0.664,n
0.411765,0.222222,0.019231,0,0,0.014184,0.663934,0.201381,0.074899,0,0.347606,0.656,n
0.382353,0.407407,0.096154,0.067416,0,0.198582,0.02459,0.261878,0.05668,0,0.339221,0.664,n
0.558824,0.518519,0,0.067416,0.0625,0.085106,0.032787,0.250276,0.038462,0,0.268023,0.736,y
0.411765,0.518519,0,0.157303,0.3125,0.177305,0.008197,0.179834,0.01417,0.387071,0.291044,0.712,y
0.470588,0.333333,0,0.067416,0,0.148936,0.02459,0.275414,0.182186,0,0.059764,0.944,n
0.441176,0.555556,0,0.022472,0,0.035461,0.016393,0.214917,0.139676,0,0.030644,0.968,n
0.5,0.333333,0,0,0,0.021277,0.090164,0.337293,0.050607,0,0.070436,0.928,n
0.352941,0.703704,0,0.078652,0,0.134752,0.02459,0.361602,0.293522,0,0.172431,0.832,y
0.735294,0.703704,0,0,0,0.007092,0.008197,0.105249,0.038462,0,0.294616,0.704,n
0.5,0.481481,0.153846,0.022472,0,0.170213,0.106557,0.341436,0.07085,0,0.179292,0.824,n
0.529412,0.777778,0.038462,0.134831,0,0.22695,0.02459,0.25442,0.107287,0,0.106503,0.896,y
0.411765,0.444444,0,0.033708,0,0.099291,0.155738,0.28232,0.087045,0,0.019972,0.984,n
0.411765,0.444444,0,0.033708,0,0.099291,0.155738,0.28232,0.087045,0,0.019972,0.984,n
0.529412,0.592593,0.038462,0.033708,0,0.12766,0.008197,0.252486,0.1417,0,0.305266,0.696,n
0.176471,0.444444,0.076923,0.089888,0.0625,0.120567,0.147541,0.38011,0.230769,0,0.283312,0.72,y
0.470588,0.481481,0,0.033708,0,0.056738,0.040984,0.253867,0.159919,0,0.294246,0.704,n
0.470588,0.407407,0,0.033708,0.0625,0.078014,0.065574,0.356906,0.246964,0,0.31914,0.68,n
0.294118,0.444444,0,0.067416,0,0.056738,0.032787,0.240055,0.139676,0,0.259028,0.744,n
0.294118,0.333333,0.076923,0.089888,0.0625,0.198582,0.07377,0.389227,0.182186,0,0.173803,0.824,n
0.5,0.703704,0.038462,0.067416,0.0625,0.085106,0.139344,0.270718,0.251012,0,0.32844,0.672,n
0.264706,0.444444,0.096154,0.078652,0.0625,0.184397,0.04918,0.349171,0.208502,0,0.266651,0.736,n
0.294118,0.37037,0.480769,0.191011,0,0.404255,0.04918,0.372652,0.186235,0,0.215424,0.784,n
0.264706,0.296296,0,0.011236,0,0.007092,0.02459,0.4,0.107287,0,0.150934,0.848,n
0.558824,0.518519,0.019231,0.011236,0,0.028369,0.065574,0.290055,0.192308,0,0.067692,0.936,n
0.705882,0.666667,0,0.022472,0.0625,0.049645,0.016393,0.268232,0.204453,0.20342,0.288452,0.712,n
0.264706,0.407407,0,0,0,0,0.065574,0.053591,0.048583,0,0.09631,0.904,n
0.5,0.407407,0,0,0,0,0.016393,0.049724,0.052632,0,0.09875,0.904,n
0.382353,0.481481,0,0,0,0,0.02459,0.038674,0.046559,0,0.104238,0.896,n
0.323529,0.444444,0.057692,0,0,0.042553,0.098361,0.326243,0.246964,0,0.094372,0.904,n
0.529412,0.555556,0,0.022472,0,0.014184,0.065574,0.224586,0.105263,0,0.018905,0.984,n
0.235294,0.296296,0.038462,0.011236,0,0.028369,0.016393,0.311602,0.311741,0.149855,0.004726,1,y
0.352941,0.407407,0.019231,0.022472,0,0.085106,0.032787,0.187293,0.054656,0,0.209784,0.792,n
0.382353,0.185185,0,0,0,0.035461,0,0.293094,0.216599,0,0.08309,0.92,n
0.382353,0.518519,0.019231,0,0.0625,0.021277,0.07377,0.224586,0.109312,0,0.037352,0.968,n
0.529412,0.555556,0,0,0,0.007092,0.057377,0.262707,0.089069,0,0.04528,0.96,n
0.558824,0.481481,0,0,0,0.021277,0.081967,0.205525,0.020243,0,0.029425,0.976,n
0.558824,0.666667,0.019231,0.033708,0,0.070922,0.163934,0.294475,0.038462,0,0.079736,0.92,n
0.823529,0.703704,0,0,0,0,0.090164,0.06105,0.020243,0,0.056519,0.944,n
0.617647,0.555556,0,0,0,0.014184,0.008197,0.092818,0.024291,0.009315,0.064447,0.936,n
0.441176,0.592593,0,0.067416,0,0.049645,0.008197,0.190055,0.080972,0,0.055952,0.944,n
0.5,0.777778,0,0.033708,0,0.113475,0.02459,0.188122,0.048583,0,0.048025,0.952,y
