@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R2,7,9,11-12,15,17-18,20'

@attribute Gender {Male,Female,Unknown,Combo}
@attribute Subjectivity numeric
@attribute WordCount numeric
@attribute FleschReading numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute TalkingSpeed numeric
@attribute AuthorityMentions numeric
@attribute WordQuantity numeric
@attribute PercentInQuotes numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
Female,0.48,3449,5.6,1,2,0,2.030957,4,951,0,174000,5,1991,n
Female,0.42,4204,7.56,0,0,0,2.396625,0,1334,0,174000,4,2007,n
Combo,0.51,3674,7.56,1,0,1,0.3674,9,1086,0,48000000,1,2013,n
Combo,0.52,4447,9.13,0,0,0,2.634344,7,1224,0,97700000,1,2012,n
Combo,0.5,3003,9.13,0,0,0,1.800281,10,1017,0,21100,1,2014,n
Combo,0.55,4260,8.35,1,3,0,2.484139,20,1339,0,194000,9,2007,n
Male,0.56,1124,9.52,0,0,0,0.1124,11,494,0,194000,8,2010,n
Male,0.52,1440,9.91,0,0,0,2.981943,1,609,0.002778,194000,8,2009,n
Male,0.53,2817,9.91,0,6,0,2.734664,1,961,0,194000,9,2010,n
Male,0.58,2913,7.17,0,3,0,2.608892,3,954,0,1790,9,2011,y
Male,0.49,6097,9.13,0,2,0,1.006905,4,1576,0,169000000,8,2005,n
Male,0.53,3003,7.17,1,1,0,2.829115,6,1062,0,1050000,1,2008,n
Male,0.5,2636,9.13,0,1,4,2.597723,2,943,0,1050000,9,2008,n
Male,0.52,1238,10.69,0,0,0,3.004372,0,525,0,1050000,8,2012,n
Male,0.54,1790,9.52,0,0,0,2.798088,7,717,0,10300000,8,2005,n
Male,0.54,2890,8.74,0,0,0,8.996496,18,1122,0.001038,11900000,9,2012,n
Male,0.52,7880,10.7,2,1,0,2.712566,13,2013,0.000254,278000,8,2008,n
Male,0.5,1518,9.52,0,0,0,2.772609,8,657,0,278000,4,2006,n
Male,0.48,1094,7.96,2,0,0,0.1094,6,520,0,278000,8,2003,n
Male,0.47,5241,9.52,0,0,0,0.5241,7,1436,0,390000,8,2004,n
Male,0.53,2737,8.34,0,2,1,2.906569,3,979,0,6480,9,2013,n
Male,0.57,3621,10.3,3,5,0,0.3621,11,1156,0,528000,8,1995,n
Male,0.56,2565,7.56,1,0,1,2.753296,2,843,0,3910000,9,2009,n
Male,0.52,1677,9.91,0,3,0,2.871425,3,664,0,994000,4,2008,n
Male,0.5,2018,9.52,0,1,0,3.397642,13,740,0,1160000,8,2004,n
Male,0.52,2941,7.56,0,2,0,3.160433,4,969,0,671,9,2006,n
Male,0.51,4692,9.91,0,1,0,3.285346,5,1391,0,50400,8,2006,n
Male,0.53,4654,9.91,0,0,0,2.912435,18,1461,0,7730000,8,2012,n
Male,0.57,5581,7.95,0,4,8,3.064741,11,1415,0,462000,11,2001,n
Male,0.54,1663,8.36,0,0,0,3.274241,8,661,0,462000,9,2003,n
Male,0.51,4735,8.35,0,2,1,2.203293,7,1457,0,462000,9,2004,n
Male,0.5,4143,7.17,2,5,2,0.4143,4,1203,0,462000,4,2004,n
Male,0.52,1303,9.92,0,0,0,2.872237,4,537,0,462000,8,2006,n
Male,0.49,1035,10.3,0,0,0,0.1035,0,475,0,462000,8,2013,n
Male,0.56,2363,7.96,0,0,1,2.693717,9,874,0,1240000,8,2005,n
Male,0.54,675,6.78,0,1,0,3.004772,0,355,0.005926,1990000,4,2009,n
Male,0.47,2600,8.73,0,0,0,2.310958,38,820,0,243000,1,2010,n
Male,0.49,5912,11.09,0,0,0,2.594878,5,1594,0.000677,10200,8,2009,n
Male,0.56,1336,8.35,0,0,0,2.799633,4,593,0,10200,8,2007,n
Male,0.45,3167,7.96,2,0,0,2.672279,7,1092,0,2440,1,2007,n
Male,0.51,5932,10.69,1,0,0,0.5932,11,1608,0,2440,8,2011,n
Male,0.51,974,10.3,0,0,0,3.032037,2,460,0,996,4,2012,n
Male,0.53,3951,7.56,0,4,0,3.392434,4,1183,0,3130000,1,2004,n
Male,0.49,5118,10.3,0,1,0,2.69653,12,1485,0,9640,8,2007,n
Male,0.49,6447,8.74,0,1,1,0.6447,27,1714,0,9640,8,2003,n
Male,0.54,2825,9.91,0,3,0,2.664856,10,1003,0,3150,1,2011,n
Male,0.57,1015,8.74,0,0,0,2.765768,1,484,0,66500,4,2007,n
Male,0.56,3284,6.39,0,1,2,0.3284,12,1007,0,66500,1,2005,n
Male,0.55,2859,6.78,1,7,0,2.767606,16,938,0.002099,66500,1,2009,n
Male,0.56,805,11.86,0,0,0,1.805479,4,401,0,295000,4,2015,n
Male,0.5,1000,6.4,0,0,0,0.1,3,480,0,68400,4,2013,n
Male,0.56,1266,6,0,2,0,2.821442,4,560,0,122,8,2008,n
Male,0.49,5068,10.7,0,1,0,0.5068,17,1567,0,580000,8,2010,n
Male,0.58,2720,6,6,7,4,3.439161,2,894,0,89100,1,2006,n
Male,0.64,1148,8.73,0,0,0,3.058897,4,470,0,89100,4,2014,n
Female,0.5,3886,7.95,3,1,0,2.395886,2,994,0,89100,11,2011,n
Male,0.51,4286,5.21,0,2,0,2.96388,14,1305,0.0014,89100,3,2014,y
Male,0.5,3772,4.82,0,0,0,0.3772,1,1076,0.000795,37700,5,1980,n
Male,0.52,3168,4.83,0,4,0,0.3168,1,1102,0.004419,17200,6,1984,n
Male,0.44,4216,6.01,1,9,2,2.415215,9,1290,0.004269,17200,9,2004,n
Male,0.47,4468,5.62,3,10,2,2.846237,3,1359,0.006714,5180,10,2002,y
Male,0.43,4310,7.18,0,0,0,1.966808,0,1468,0,5180,3,2016,n
Male,0.43,4310,7.18,0,0,0,1.966808,0,1468,0,2060000,3,2016,n
Male,0.58,6118,6.38,10,2,0,0.6118,0,1463,0,308000,7,1986,n
Female,0.48,877,7.18,0,1,0,0.0877,4,453,0,199000,8,2011,n
Female,0.53,3740,5.22,2,0,1,2.337079,13,1161,0,1670000,2,2015,n
Female,0.49,5563,7.95,0,2,0,0.5563,2,1320,0,1670000,1,1997,n
Female,0.51,4853,6.77,2,0,1,1.981808,1,1221,0,1950,5,1993,n
Female,0.58,3661,4.43,0,5,0,2.427118,2,959,0,17400,2,2006,y
Female,0.52,4096,4.82,0,1,0,2.28515,2,948,0,349,1,2010,n
Female,0.51,4914,4.82,0,7,0,2.27,4,1046,0,349,9,2007,y
Male,0.47,918,8.35,0,0,0,0.0918,1,475,0,42700,8,2010,n
Male,0.47,907,8.35,0,0,0,0.0907,1,455,0,27800,4,2010,n
Male,0.52,1501,7.18,0,0,0,0.1501,1,635,0,2570,4,2011,n
Male,0.51,3366,5.22,0,1,1,2.130571,9,1151,0,4870,2,2011,n
Female,0.5,4635,5.6,0,3,0,2.569336,8,1243,0,654000,5,2000,n
Female,0.55,3726,6.39,0,2,0,2.319948,4,1139,0.030596,823000,4,2004,n
Female,0.5,4269,5.61,1,10,0,3.089586,6,1236,0,29300,4,2004,n
Female,0.57,4970,5.22,0,3,3,2.538417,2,1394,0,159000,8,2015,n
Male,0.52,3303,4.43,3,4,0,2.020254,8,994,0,159000,11,2010,n
Male,0.51,6084,8.35,1,3,3,0.6084,2,1715,0,823000,3,1997,n
Male,0.52,3945,3.26,0,13,1,2.079433,12,1170,0,356000,2,2002,n
Male,0.52,3945,3.26,0,13,1,2.079433,12,1170,0,25400,2,2002,n
Female,0.5,5797,5.61,1,3,0,2.941326,17,1567,0,389000,7,1998,y
Male,0.55,685,6.79,0,0,1,1.800784,1,368,0.00438,9030,4,2013,n
Female,0.51,4334,5.61,0,2,0,2.875938,7,1493,0,597,3,2003,n
Male,0.49,3825,7.96,0,6,0,1.894451,5,1489,0,71400,5,2011,n
Male,0.49,4463,5.62,3,61,2,2.937188,4,1285,0.014116,71400,4,2014,n
Male,0.5,4036,4.83,0,19,1,2.666353,12,1284,0,71400,8,2016,n
Male,0.46,3537,6.39,0,2,1,0.3537,20,1166,0,71400,8,2011,n
Male,0.46,4203,8.75,2,8,2,2.829955,8,1481,0.004996,1110000,8,2008,y
Male,0.48,3296,6,0,0,0,2.689114,2,1027,0.00091,1110000,1,2017,y
Male,0.48,3296,6,0,0,0,2.689114,2,1027,0.00091,735,1,2017,y
Male,0.48,4325,7.56,2,2,0,0.99136,4,1310,0,735,7,2013,y
Male,0.52,3372,7.17,0,0,0,0.3372,71,1050,0,217000,9,1980,n
Male,0.48,3965,7.17,0,2,0,2.356864,7,1271,0,7020000,6,2012,n
Female,0.5,3911,6,1,6,2,1.598961,2,1295,0.001534,602000,6,2013,y
Male,0.39,4451,7.19,0,0,0,2.324725,2,1580,0,4720000,6,2016,n
Male,0.57,4756,4.43,5,14,0,2.776723,9,1375,0,4720000,10,1999,n
Male,0.45,4439,6.39,4,2,0,2.090423,14,1365,0,4720000,1,2011,y
Male,0.5,2488,5.61,0,1,0,2.319834,6,940,0,4720000,8,2007,n
Male,0.55,5123,4.83,2,22,4,3.434456,6,1420,0,4720000,1,2006,y
Male,0.5,2468,4.83,1,0,2,0.2468,4,998,0,4720000,4,2010,n
Male,0.53,6045,6,4,11,0,2.703372,8,1611,0,286000,11,2004,y
Male,0.48,3755,5.22,0,6,2,2.610578,10,1238,0,5470000,6,2004,n
Male,0.43,3977,7.16,3,1,0,2.937026,0,1228,0,236000,7,2004,n
Male,0.47,3598,5.61,0,2,0,2.262941,9,1298,0,236000,9,2014,y
Male,0.49,4759,4.44,6,7,1,2.806254,6,1541,0.005253,550000,3,2012,y
Male,0.49,4759,4.44,6,7,1,2.806254,6,1541,0.005253,806000,3,2012,y
Male,0.5,4460,5.61,3,12,0,2.097623,12,1465,0,1860,1,1995,y
Male,0.5,6092,6.39,1,13,1,2.343114,49,1424,0,837000,6,1993,n
Male,0.51,5344,7.17,4,2,1,2.520298,6,1442,0,1120000,9,1974,y
Male,0.5,5908,9.13,0,0,1,0.5908,6,1739,0,453000,9,1973,n
Male,0.51,3809,6.39,1,1,0,2.783489,13,1225,0,360000,9,1984,n
Male,0.53,3328,5.61,4,13,1,2.218398,3,937,0,1020,10,1985,y
